A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
206979,1795.101,712.408675111322,379.011720646313,1.87964813831214,84.6735264584242,214037,513.35547891275,0.607021042598431,0.967024392978784,0.807157656399624,0.720591279763028,0.00344193698448307,0.000572451485214511,0.519251792470518,0.976010665032449
65881,1027.604,409.531317471846,207.223982485842,1.97627375248338,0.862531850534024,67226,289.624402367441,0.631988411803077,0.979992859905394,0.784004353802604,0.707209412348182,0.0062162280091657,0.000959177156354318,50.0145152913861,0.98842373813545
73884,1092.59,433.076158964241,220.136215098896,1.96730991658815,0.861175157041697,75689,???,0.632936983860467,0.976152413164396,0.777760389249277,0.708216405642673,0.0058615689318965,0.000909614910611178,0.501570477221427,0.986744573705563
71678,1054.534,422.650981976283,218.714063092401,1.93243624118365,0.855694396205494,73261,302.098103415971,0.633086027203674,0.97839232333711,0.809980511166702,0.714769671191546,0.00589652308904103,0.000949380335344237,0.51089568285527,0.987273333013793
74967,1059.749,414.629376439675,232.186791526691,1.78575781039642,0.828501832648704,75687,308.951369879081,0.633284900910642,0.990487137817591,0.838830020674738,0.745126581555736,0.00553082524897188,0.00105169528310144,0.555213622540938,0.991477062890971
74604,1089.456,421.210568662942,229.647581212465,1.83416070153705,0.838300479784849,77074,308.202470780852,0.640861766828162,0.967952876456393,0.789864485864314,0.731706404611797,0.00564595153963517,0.000998307501720661,0.535394262549923,0.98199911619748
67109,1017.317,???,218.458078312362,1.81950176123224,0.83542727584893,68530,292.3111913828,0.643398143887099,0.97926455566905,0.814850671223817,0.735402079650563,0.00592297394156897,0.0010686094228115,0.540816218754373,0.98401606252654
78675,1097.153,435.265432391533,233.328997208527,1.86545794821436,0.844178994682255,80325,316.499796496047,0.645384893030581,0.979458450046685,0.821319673218241,0.727142044699168,0.00553244909299692,0.000954056769682888,0.528735553169287,0.98633394016316
188980,1696.319,650.001991395325,374.729889359121,1.7345880589002,0.817093087390668,192822,490.527072814591,0.645608712882111,0.980074887720281,0.82529773960023,0.754654723074928,0.00343952794684795,0.000688132045826139,0.569503751059297,0.987854406086329
73020,1068.139,421.557451892042,221.260172436524,1.90525681712094,0.851186333845884,73700,304.913022936971,0.646996278575226,0.990773405698779,0.804259404402508,0.723301228737517,0.00577317792237801,0.000974701235049746,0.523164667493202,0.996763049218233
67194,1005.436,394.587499032446,218.724460977762,1.80403918824865,0.832309171673326,67865,292.496252914348,0.647634285273679,0.990112723789877,0.835278872587606,0.741270956711928,0.00587236210126568,0.0010937058332366,0.549482631264617,0.991288200063353
78992,1106.05,437.395667927356,232.027229486084,1.88510490297256,0.847700920344976,79915,317.136781401527,0.649872480460716,0.988450228367641,0.811415788085666,0.725056978511727,0.00553721475500501,0.000943973228699111,0.525707622088554,0.991014015929177
80291,1103.635,430.906827309079,239.302791549608,1.80067614138028,0.831618763021278,81330,319.733758440254,0.65010849851017,0.987224886265831,0.828372744368055,0.742002071391913,0.00536681355704972,0.00100349853217153,0.55056707394989,0.991392994291121
72900,1053.947,412.558658382614,228.073583502915,1.80888401035424,0.833296021625163,74237,304.662375115788,0.65275787965616,0.981990112747013,0.824707318168607,0.738470442749112,0.00565924085572858,0.00103817462582374,0.54533859481407,0.986454264388218
77939,1070.502,424.323534593974,236.12628814307,1.79701945908231,0.830863013343553,78917,315.015899403687,0.652837458642208,0.987607232915595,0.854652814665798,0.742395539538289,0.00544430303947925,0.0010201486732704,0.551151137126348,0.990429318311392
80339,1107.539,433.027612382825,237.394060577751,1.82408781133343,0.836334672905476,81278,319.829316643234,0.65402399908823,0.988447058244543,0.823034858506419,0.738588735446469,0.00539000500856153,0.000989417643323234,0.545513320128415,0.995064198166271
155439,1530.105,571.898425014843,351.391485338507,1.62752499385099,0.788971426920858,158204,444.871983377341,0.655324333667799,0.982522565801117,0.83430988464316,0.777886358693495,0.00367924668207363,0.000831004340235064,0.605107187041425,0.984827070868783
76321,1096.901,418.026049537961,234.125044134811,1.78548198926237,0.828443356017339,77327,311.728913150084,0.655949188668867,0.986990313861911,0.797111456900459,0.745716477465061,0.00547720875693402,0.00104480204577102,0.556093064762898,0.992894151487867
